prox_to	prox_ct	n_proximal	pval	pvale_adjust	or	or05	or95	log_or95	log_or05	log_or
B1	B1	24	2.22657184423273e-22	6.67971553269819e-21	21.92665510071	13.1187884949891	35.4755045462921	3.56884244553248	2.57404543893136	3.08770302460908
B2	B1	3	0.00115010867003583	0.00492903715729643	17.5948847175977	3.14378884962775	66.9597449389067	4.20409161701785	1.14542871252403	2.86760821875422
DC	B1	1	0.351216304961999	0.501737578517142	2.38130613772531	0.0580740271959253	14.5011803638168	2.67423005051453	-2.84603675128946	0.867649134512759
Endo1	B1	66	0.0708818357136371	0.141763671427274	1.27181529202713	0.967670494205099	1.64819789456815	0.499682505933483	-0.0328636482027478	0.240445243703341
Endo2	B1	1	0.43548471398259	0.568023539977291	1.78564011842122	0.0439331772310782	10.6385937659668	2.36448831032621	-3.12508549875026	0.579776960706279
Endo3	B1	1	0.727797988668941	0.873357586402729	0.468033299493873	0.0117491510786265	2.66141192100012	0.978856779338982	-4.44397428962956	-0.759215832831042
EpiTumor1	B1	3	0.00323319734998845	0.0107773244999615	0.238130078557065	0.0488762732860289	0.701744484876159	-0.354185922871621	-3.01846320912789	-1.43493820605483
F1	B1	35	5.09120501731513e-06	3.81840376298635e-05	0.482832875524456	0.332546015422803	0.680446600001508	-0.385005931679442	-1.10097703621252	-0.728084698612939
F2	B1	16	5.86384253339092e-09	5.86384253339092e-08	0.293775885314688	0.166649770106733	0.481772219453805	-0.730283850376995	-1.79186085372689	-1.22493809718591
F3	B1	141	0.010919447316016	0.0297803108618619	0.783436083402151	0.643830940423213	0.948366674949859	-0.0530140635884887	-0.440319102211631	-0.244065798813496
F4	B1	4	0.781774045156966	0.902046975181114	1.15325872406681	0.310529719672163	3.0095590593516	1.10179357612003	-1.16947566665873	0.142591608193543
L2	B1	42	1.4753631420697e-09	2.21304471310456e-08	3.1000318557514	2.19510014824571	4.27660499330178	1.45315946895953	0.786227671110786	1.13141238748714
L3	B1	28	0.00113272981142565	0.00492903715729643	1.99565134165023	1.30729406551609	2.93385546963097	1.07631741798631	0.267959402078772	0.690970484099254
L4	B1	17	0.000501222688713087	0.00300733613227852	2.63859640135428	1.51245023153191	4.31153965967171	1.46129506994655	0.413731005609197	0.970247109619977
L5	B1	2	0.0337654943563948	0.0779203715916803	7.57847496941068	0.847380668381748	32.0248591543038	3.46651244978105	-0.165605253910707	2.02531198804196
M1	B1	23	0.421481804925046	0.568023539977291	1.16966110784293	0.732972917575147	1.77997742651462	0.576600682490221	-0.310646525151662	0.156714055436296
