prox_to	prox_ct	n_proximal	pval	pvale_adjust	or	or05	or95	log_or95	log_or05	log_or
B1	B1	65	1.93205634203372e-72	5.79616902610115e-71	44.4825301182387	31.5689040394975	62.3682596121415	4.13305648590213	3.45217258671541	3.79509653047925
B2	B1	4	0.0090834074697296	0.019464444577992	5.25231178380554	1.36679806971518	14.4942969904027	2.67375526105276	0.312470828992259	1.65866831945491
DC	B1	11	3.14470760229015e-08	1.34773182955292e-07	10.7873859962923	5.08797697509237	20.8334943630615	3.03656199747132	1.62688030069196	2.37837748822321
Endo1	B1	116	0.558426433611492	0.598314036012313	0.939982635559105	0.766183156966095	1.1444591007069	0.134932124260292	-0.266334029512553	-0.0618938766981752
Endo2	B1	4	0.295805282757706	0.341313787797353	1.77593228665707	0.475626212478047	4.67505147870092	1.54224017416685	-0.743123001138326	0.574325516960851
Endo3	B1	3	1	1	0.869979787741462	0.177539540415407	2.58810043609111	0.950924184267046	-1.72856193197093	-0.139285300084464
EpiTumor2	B1	1	4.2612606697487e-23	3.19594550231152e-22	0.0171351955242635	0.000438015807248348	0.0957438499432355	-2.34607888334209	-7.73325555863094	-4.06662071290867
F1	B1	30	4.3674298260192e-07	1.6377861847572e-06	0.433158944492709	0.290127732235839	0.623680090167035	-0.472117718090358	-1.23743399698823	-0.836650540985688
F2	B1	13	1.09309052961858e-10	5.46545264809288e-10	0.239669054997362	0.126972701007751	0.41250290543214	-0.885512029760352	-2.06378316832406	-1.42849624476038
F3	B1	162	2.35882972440732e-06	7.8627657480244e-06	0.672226853075766	0.563602771834158	0.797763885462293	-0.225942608193636	-0.57340558088213	-0.397159416444156
F4	B1	7	0.0195705684726851	0.0391411369453703	2.67408571545726	1.05389417953096	5.66972676955643	1.73514092778779	0.0524920461518797	0.983607533310819
L1	B1	6	0.0012157748856985	0.00288017863701082	5.47427302383056	1.93015932211798	12.6468889674911	2.53741125350381	0.657602549829901	1.70005948585087
L2	B1	74	5.00337438088389e-27	5.00337438088389e-26	5.14915238623972	3.96872265447754	6.60156697419316	1.88730704118493	1.37844429342474	1.63883211593385
L3	B1	63	8.21070041091048e-18	4.92642024654629e-17	3.90631496189704	2.95248496404939	5.09117050964882	1.627507766728	1.08264717645978	1.36259446460994
L4	B1	59	1.83511927105712e-36	2.75267890658569e-35	10.42963292849	7.70852224231288	13.899222312657	2.63183288984174	2.04232650154094	2.34465107457649
M1	B1	15	0.550397611027981	0.598314036012313	0.812815297037967	0.451438665755226	1.35383025170901	0.302937798616829	-0.795315760856308	-0.207251382160353
