prox_to	prox_ct	n_proximal	pval	pvale_adjust	or	or05	or95	log_or95	log_or05	log_or
B1	B1	411	0	0	93.9701517241389	79.7427589274742	111.157687950504	4.71094980536422	4.37880594039498	4.54297719699555
B2	B1	14	4.00877790132423e-08	9.44926219597854e-08	7.28092088535695	3.83513470106114	12.8261808608358	2.55148846173717	1.34420455833827	1.98525734945008
DC	B1	24	2.48046916694349e-11	6.82129020909461e-11	6.04340190489806	3.77795904399213	9.26712966578472	2.22647369471393	1.32918392836204	1.7989670826804
Endo1	B1	303	0.00185811250901975	0.0036069242822148	0.828615248976549	0.7324855674647	0.934645858201974	-0.0675875827229333	-0.311311641404888	-0.187999346205557
Endo2	B1	10	0.0860345496062966	0.123440875522078	0.575432616067625	0.274676488046311	1.06484835476188	0.0628323991280344	-1.2921612809299	-0.552633145307768
Endo3	B1	11	4.76943438636912e-17	1.43083031591074e-16	0.160807440841388	0.0801165695098281	0.288574043277462	-1.24280357682076	-2.52427258600299	-1.82754764941865
EpiTumor1	B1	3	4.96282939769761e-30	4.09433425310053e-29	0.0367626215250665	0.00757896627258525	0.107589030381579	-2.2294365845781	-4.88237846427625	-3.30327366942734
EpiTumor2	B1	1	3.07189176047957e-25	1.26715535119782e-24	0.0160328799889808	0.000410521264483021	0.0894624494318611	-2.41393630116155	-7.79808282899317	-4.13311366605382
F1	B1	100	1.07375791232903e-25	5.06200158669401e-25	0.395340964393014	0.32025753099824	0.483137652748125	-0.727453670595288	-1.13862982248416	-0.928006685429767
F2	B1	31	1.27615619442065e-27	7.01885906931356e-27	0.219389932804978	0.148645380549702	0.312440931116724	-1.16333984809878	-1.9061918060404	-1.51690461731237
F3	B1	416	4.78508309788084e-28	3.15815484460136e-27	0.575894948661875	0.517469135212786	0.639630312965809	-0.446864905515286	-0.658805397722171	-0.551830015715001
F4	B1	14	0.127347959782607	0.161633948954847	1.55105867526478	0.840212693595815	2.63348208764483	0.968306958188472	-0.17410021253449	0.43893771408154
L1	B1	11	0.00122928591767606	0.00253540220520688	3.14528881143025	1.54042633714858	5.77387149584406	1.7533428253374	0.43205922041605	1.14590571786942
