"","Gene","mean","median","sd","max","Patient_ID","Sample","Tissue","Timepoint","Annotation","BestResponse","Residual"
"STAT1","STAT1",0.988606438,0.78149779,0.969348307038872,5.40607415,0.111616938269783,0.00530575681347252,0.000405798981398083,0.000000000672652364323195,0,0,0.882671505262694
"LAMP2","LAMP2",1.190522597,1.01422265,1.06858539122591,5.13305915,0.0605017463448444,0.00252159095465279,0.00350114477239368,0.000530400763235228,0,0.0109858158085365,0.921959301356337
"ACTB","ACTB",3.891882143,4.2824446,1.50282024209294,6.5323721,0.0471058583037188,0,0,0.00000000020466821415314,0.0340403740552374,0.00000000321139033978449,0.918853764224985
"PTPN2","PTPN2",1.113328092,0.8715777,1.02770081046167,5.63086605,0.0445553646209985,0,0,0.0064490623859922,0,0,0.948995572993009
"TGFB1","TGFB1",1.268234099,0.95420471,1.195217512948,6.02065647,0.0371876107013173,0.000000000419054306132059,0.00000000253752408995662,0,0.0062226160555478,0,0.956589770286556
"JAK2","JAK2",1.124141053,0.9076324,1.01658905326,5.39820006,0.0358360295528934,0.0113340648733254,0,0,0,0.00000000558907670941312,0.952829899984704
"S100A4","S100A4",1.40874663,1.07240987,1.28349438505905,6.67909543,0.0357500339769333,0.0660888754847796,0.0000000100982400093484,0,0.000000000187194652208128,0,0.898161080252852
"CCR1","CCR1",0.58028046,0.088390511,0.998711516632024,5.864976698,0.0355276144631437,0.0163109357173548,0,0,0,0.0000000111395433332919,0.948161438679958
"KRAS","KRAS",0.960618155,0.78888325,0.893286458936044,6.01410969,0.0337135644022683,0.0038490354022515,0.000000000823019426707719,0.000000000985201410100632,0,0.0000000148936312841734,0.962437383493628
"IGKC","IGKC",0.515968616,0.026947931,1.22085773308189,6.957591745,0.0334684067578624,0.00000000866188454102472,0.0000000031529634126365,0,0.0032478364605901,0,0.9632837449667
"CTSD","CTSD",1.21571099,0.92443553,1.1933886906854,6.44517741,0.031301214720629,0.00694728956535613,0,0.00000000013892920194923,0,0.0108365860420257,0.95091490953306
"MX1","MX1",0.589174009,0.37142417,0.767525550451185,5.22701702,0.0309957956905288,0.00429608145073396,0.000000306932374347573,0,0.00131666460953367,0,0.963391151316829
"LAMP1","LAMP1",1.688493984,1.6259379,1.20774635173399,6.4451774,0.0300021134366383,0,0.000000000445916347202668,0,0.0166232538627937,0.0171892053404727,0.936185426914179
"PTPN6","PTPN6",1.18150135,0.66750834,1.27868487085241,6.59420997,0.0299301383333062,0,0.00792934954031522,0.00137264102163786,0,0,0.960767871104741
"PSMB10","PSMB10",0.633926587,0.43553821,0.764899393778368,5.85708949,0.0297605989767879,0.0123416237808609,0.00000000183506543424213,0.00366401627656533,0.000000000482440712333605,0.000000000959693699368946,0.954233757688586
