gene_id	gene_name	gene_chr	gene_start	gene_end	gene_strand	gene_length	gene_biotype	gene_description	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000024521	ENSMUSG00000024521	Pmaip1	18	66591604	66598636	+	2732	protein_coding	phorbol-12-myristate-13-acetate-induced protein 1 [Source:MGI Symbol;Acc:MGI:1930146]	-1.69892004494858	3.75384888488638	-10.9233948166135	0.00000206069319234712	0.006727406072646	4.76774422810179
ENSMUSG00000048078	ENSMUSG00000048078	Tenm4	7	95820453	96560300	+	21021	protein_coding	teneurin transmembrane protein 4 [Source:MGI Symbol;Acc:MGI:2447063]	1.2868836836456	3.06866714101349	10.2485486379334	0.00000347915815544967	0.006727406072646	4.30936797715609
ENSMUSG00000037411	ENSMUSG00000037411	Serpine1	5	137090358	137101122	-	3876	protein_coding	serine (or cysteine) peptidase inhibitor, clade E, member 1 [Source:MGI Symbol;Acc:MGI:97608]	0.639346673336343	11.0894144744217	10.1276923018585	0.0000038332798134735	0.006727406072646	4.99517071043872
ENSMUSG00000039518	ENSMUSG00000039518	Cdsn	17	35863025	35868077	+	2678	protein_coding	corneodesmosin [Source:MGI Symbol;Acc:MGI:3505689]	1.82731520522316	2.99810948612812	8.96111380078837	0.0000103140730971558	0.00950570575375751	3.25103096904191
ENSMUSG00000024778	ENSMUSG00000024778	Fas	19	34268066	34305172	+	2062	protein_coding	Fas (TNF receptor superfamily member 6) [Source:MGI Symbol;Acc:MGI:95484]	-1.50208831867049	3.83507525727475	-8.87363950436059	0.0000111560025343334	0.00950570575375751	2.94538112003791
ENSMUSG00000070436	ENSMUSG00000070436	Serpinh1	7	98994583	99002446	-	2443	protein_coding	serine (or cysteine) peptidase inhibitor, clade H, member 1 [Source:MGI Symbol;Acc:MGI:88283]	0.516070599708375	11.6156027089497	8.83076853572369	0.0000115960739356557	0.00950570575375751	3.89287892935768
ENSMUSG00000074968	ENSMUSG00000074968	Ano3	2	110485546	110781268	-	7218	protein_coding	anoctamin 3 [Source:MGI Symbol;Acc:MGI:3613666]	-1.75362321669126	0.172661436975186	-8.68171516637048	0.0000132816543677911	0.00950570575375751	2.8729507375817
ENSMUSG00000028108	ENSMUSG00000028108	Ecm1	3	95641459	95646881	-	2522	protein_coding	extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:103060]	-0.686745243036027	7.67994540753544	-8.44059686606068	0.0000166096067470614	0.00950570575375751	3.55938957027341
ENSMUSG00000032796	ENSMUSG00000032796	Lama1	17	68004254	68129642	+	9681	protein_coding	laminin, alpha 1 [Source:MGI Symbol;Acc:MGI:99892]	1.36014565884483	3.95111870333999	8.36401974183047	0.0000178511621589971	0.00950570575375751	2.88130422035511
ENSMUSG00000040945	ENSMUSG00000040945	Rcc2	4	140427852	140450531	+	4155	protein_coding	regulator of chromosome condensation 2 [Source:MGI Symbol;Acc:MGI:1919784]	0.554277027285072	8.67809532068775	8.35203736464869	0.0000180545218494919	0.00950570575375751	3.46648517357173
